Pclass;Age;Fare;Embarked;FamilySize;GenderClass;Survived
P3;22;7,25;S;2;male;0
P1;38;71,2833;C;2;female;1
P3;26;7,925;S;1;female;1
P1;35;53,1;S;2;female;1
P3;35;8,05;S;1;male;0
P3;28;8,4583;Q;1;male;0
P1;54;51,8625;S;1;male;0
P3;2;21,075;S;5;child;0
P3;27;11,1333;S;3;female;1
P2;14;30,0708;C;2;child;1
P3;4;16,7;S;3;child;1
P1;58;26,55;S;1;female;1
P3;20;8,05;S;1;male;0
P3;39;31,275;S;7;male;0
P3;14;7,8542;S;1;child;0
P2;55;16;S;1;female;1
P3;2;29,125;Q;6;child;0
P2;28;13;S;1;male;1
P3;31;18;S;2;female;0
P3;28;7,225;C;1;female;1
P2;35;26;S;1;male;0
P2;34;13;S;1;male;1
P3;15;8,0292;Q;1;female;1
P1;28;35,5;S;1;male;1
P3;8;21,075;S;5;child;0
P3;38;31,3875;S;7;female;1
P3;28;7,225;C;1;male;0
P1;19;263;S;6;male;0
P3;28;7,8792;Q;1;female;1
P3;28;7,8958;S;1;male;0
P1;40;27,7208;C;1;male;0
P1;28;146,5208;C;2;female;1
P3;28;7,75;Q;1;female;1
P2;66;10,5;S;1;male;0
P1;28;82,1708;C;2;male;0
P1;42;52;S;2;male;0
P3;28;7,2292;C;1;male;1
P3;21;8,05;S;1;male;0
P3;18;18;S;3;female;0
P3;14;11,2417;C;2;child;1
P3;40;9,475;S;2;female;0
P2;27;21;S;2;female;0
P3;28;7,8958;C;1;male;0
P2;3;41,5792;C;4;child;1
P3;19;7,8792;Q;1;female;1
P3;28;8,05;S;1;male;0
P3;28;15,5;Q;2;male;0
P3;28;7,75;Q;1;female;1
P3;28;21,6792;C;3;male;0
P3;18;17,8;S;2;female;0
P3;7;39,6875;S;6;child;0
P3;21;7,8;S;1;male;0
P1;49;76,7292;C;2;female;1
P2;29;26;S;2;female;1
P1;65;61,9792;C;2;male;0
P1;28;35,5;S;1;male;1
P2;21;10,5;S;1;female;1
P3;28,5;7,2292;C;1;male;0
P2;5;27,75;S;4;child;1
P3;11;46,9;S;8;child;0
P3;22;7,2292;C;1;male;0
P1;38;80;S;1;female;1
P1;45;83,475;S;2;male;0
P3;4;27,9;S;6;child;0
P1;28;27,7208;C;1;male;0
P3;28;15,2458;C;3;male;1
P2;29;10,5;S;1;female;1
P3;19;8,1583;S;1;male;0
P3;17;7,925;S;7;female;1
P3;26;8,6625;S;3;male;0
P2;32;10,5;S;1;male;0
P3;16;46,9;S;8;female;0
P2;21;73,5;S;1;male;0
P3;26;14,4542;C;2;male;0
P3;32;56,4958;S;1;male;1
P3;25;7,65;S;1;male;0
P3;28;7,8958;S;1;male;0
P3;28;8,05;S;1;male;0
P2;0,83;29;S;3;child;1
